"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"11101","Coyhaique","","Coyhaique","Aysén del Gral. C. Ibáñez del Campo","7.290,2","59.221","6,8","0,751"
"11102","Lago Verde","","Coyhaique","Aysén del Gral. C. Ibáñez del Campo","5.422,3","925","0,2","0,637"
"11201","Aysén","","Aysén","Aysén del Gral. C. Ibáñez del Campo","29.796,4","27.187","0,9","0,674"
"11202","Cisnes","","Aysén","Aysén del Gral. C. Ibáñez del Campo","16.093,0","6.166","0,3","0,725"
"11203","Guaitecas","","Aysén","Aysén del Gral. C. Ibáñez del Campo","620,6","1.862","2,4","0,654"
"11301","Cochrane","","Capitán Prat","Aysén del Gral. C. Ibáñez del Campo","8.599,5","2.759","0,3","0,668"
"11302","O'Higgins","","Capitán Prat","Aysén del Gral. C. Ibáñez del Campo","8.182,5","700","0,1","0,572"
"11303","Tortel","","Capitán Prat","Aysén del Gral. C. Ibáñez del Campo","19.710,6","531","0,0","0,655"
"11401","Chile Chico","","General Carrera","Aysén del Gral. C. Ibáñez del Campo","5.737,1","5.334","0,8","0,707"
"11402","Río Ibáñez","","General Carrera","Aysén del Gral. C. Ibáñez del Campo","5.997,2","2.208","0,4","0,654"
"12101","Punta Arenas","","Magallanes","Magallanes y Antártica Chilena","17.846,3","125.483","6,8","0,748"
"12102","Laguna Blanca","","Magallanes","Magallanes y Antártica Chilena","3.695,6","631","0,0","0,785"
"12103","Río Verde","","Magallanes","Magallanes y Antártica Chilena","17.248,0","363","0,0","0,784"
"12104","San Gregorio","","Magallanes","Magallanes y Antártica Chilena","6.883,7","731","0,1","0,823"
"12201","Cabo de Hornos","","Antártica Chilena","Magallanes y Antártica Chilena","15.578,7","1.677","0,1","0,806"
"12202","Antártica","","Antártica Chilena","Magallanes y Antártica Chilena","1.250.257,6","127","0,0",""
"12301","Porvenir","","Tierra del Fuego","Magallanes y Antártica Chilena","9.707,4","5.650","0,8","0,731"
"12302","Primavera","","Tierra del Fuego","Magallanes y Antártica Chilena","4.253,4","803","0,2","0,774"
"12303","Timaukel","","Tierra del Fuego","Magallanes y Antártica Chilena","10.758,9","873","0,1","0,717"
"12401","Natales","","Última Esperanza","Magallanes y Antártica Chilena","49.924,1","21.327","0,4","0,699"
"12402","Torres del Paine","","Última Esperanza","Magallanes y Antártica Chilena","6.630,0","1.163","0,1","0,730"
"13101","Santiago","","Santiago","Metropolitana de Santiago","22,0","237.369","8.654,8","0,807"
"13102","Cerrillos","","Santiago","Metropolitana de Santiago","21,0","79.195","3.422,1","0,743"
